# band-dsp-teensy manual [acghmpsz] > g
# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 3
# Current settings:
# Gain setting 5x (3)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	86.1	 2.141	5
M	86.6	 2.411	5
M	87.2	 2.243	5
M	87.7	 1.900	5
M	88.2	 2.019	5
M	88.7	 2.023	5
M	89.2	 2.057	5
M	89.7	 1.960	5
M	90.2	 1.850	5
M	90.7	 2.054	5
M	91.2	 2.134	5
M	91.7	 2.004	5
M	92.2	 2.187	5
M	92.7	 2.476	5
M	93.2	 2.319	5
M	93.7	 2.501	5
M	94.2	 2.297	5
M	94.7	 2.305	5
M	95.2	 2.353	5
M	95.7	 2.611	5
M	96.2	 2.527	5
M	96.7	 2.336	5
M	97.2	 2.225	5
M	97.7	 2.317	5
M	98.2	 2.694	5
M	98.7	 2.674	5
M	99.2	 2.519	5
M	99.7	 2.141	5
M	100.2	 2.279	5
M	100.7	 2.353	5
M	101.2	 2.388	5
M	101.7	 2.400	5
M	102.2	 1.933	5
M	102.7	 2.250	5
M	103.2	 2.024	5
M	103.7	 2.174	5
M	104.2	 2.154	5
M	104.7	 2.047	5
M	105.2	 2.274	5
M	105.7	 2.441	5
M	106.2	 2.063	5
M	106.7	 2.311	5
M	107.2	 1.728	5
M	107.7	 2.151	5
M	108.2	 2.152	5
M	108.7	 2.196	5
M	109.2	 1.993	5
M	109.7	 2.282	5
M	110.2	 2.068	5
M	110.7	 2.045	5
M	111.2	 1.924	5
M	111.7	 2.150	5
M	112.3	 1.831	5
M	112.8	 1.969	5
M	113.3	 2.271	5
M	113.8	 2.328	5
M	114.3	 2.032	5
M	114.8	 2.232	5
M	115.3	 2.110	5
M	115.8	 2.209	5
M	116.3	 2.439	5
M	116.8	 2.490	5
M	117.3	 2.051	5
M	117.8	 2.188	5
M	118.3	 2.062	5
M	118.8	 2.171	5
M	119.3	 2.286	5
M	119.8	 2.238	5
M	120.3	 2.530	5
M	120.8	 2.718	5
M	121.3	 2.365	5
M	121.8	 2.783	5
M	122.3	 2.253	5
M	122.8	 2.322	5
M	123.3	 2.745	5
M	123.8	 2.873	5
M	124.3	 2.247	5
M	124.8	 2.594	5
M	125.3	 2.575	5
M	125.8	 2.185	5
M	126.3	 2.283	5
M	126.8	 1.979	5
M	127.3	 2.134	5
M	127.8	 2.470	5
M	128.3	 2.278	5
M	128.8	 1.952	5
M	129.3	 1.632	5
M	129.8	 1.916	5
M	130.3	 2.104	5
M	130.8	 2.014	5
M	131.3	 1.859	5
M	131.8	 2.288	5
M	132.3	 2.046	5
M	132.8	 2.032	5
M	133.3	 1.886	5
M	133.8	 1.961	5
M	134.3	 2.092	5
M	134.8	 2.138	5
M	135.3	 1.871	5
M	135.8	 1.699	5
M	136.3	 2.176	5
M	136.8	 1.990	5
M	137.4	 2.070	5
M	137.9	 2.054	5
M	138.4	 1.830	5
M	138.9	 1.960	5
M	139.4	 1.877	5
M	139.9	 1.741	5
M	140.4	 1.906	5
M	140.9	 1.977	5
M	141.4	 1.817	5
M	141.9	 2.359	5
M	142.4	 2.287	5
M	142.9	 2.038	5
M	143.4	 2.123	5
M	143.9	 2.116	5
M	144.4	 2.603	5
M	144.9	 2.329	5
M	145.4	 2.241	5
M	145.9	 1.929	5
M	146.4	 1.930	5
M	146.9	 2.035	5
M	147.4	 1.978	5
M	147.9	 2.003	5
M	148.4	 1.929	5
