# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 
# (not updated)
# Current settings:
# Gain setting 2x (1)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	25.0	 0.676	2
M	25.5	 0.726	2
M	26.0	 0.647	2
M	26.5	 0.678	2
M	27.0	 0.752	2
M	27.5	 0.682	2
M	28.0	 0.615	2
M	28.5	 0.820	2
M	29.0	 0.757	2
M	29.5	 0.689	2
M	30.0	 0.812	2
M	30.5	 0.719	2
M	31.0	 0.762	2
M	31.5	 0.757	2
M	32.0	 0.784	2
M	32.5	 0.659	2
M	33.0	 0.685	2
M	33.5	 0.698	2
M	34.0	 0.752	2
M	34.5	 0.832	2
M	35.0	 0.759	2
M	35.5	 0.712	2
M	36.0	 0.683	2
M	36.5	 0.779	2
M	37.0	 0.705	2
M	37.5	 0.642	2
M	38.0	 0.718	2
M	38.5	 0.659	2
M	39.0	 0.649	2
M	39.5	 0.782	2
M	40.0	 0.672	2
M	40.5	 0.718	2
M	41.0	 0.721	2
M	41.5	 0.704	2
M	42.0	 0.738	2
M	42.5	 0.785	2
M	43.0	 0.671	2
M	43.5	 0.670	2
M	44.0	 0.722	2
M	44.5	 0.760	2
M	45.0	 0.763	2
M	45.5	 0.783	2
M	46.0	 0.685	2
M	46.5	 0.676	2
M	47.0	 0.810	2
M	47.5	 0.638	2
M	48.0	 0.739	2
M	48.5	 0.724	2
M	49.0	 0.627	2
M	49.5	 0.695	2
M	50.1	 0.658	2
M	50.6	 0.654	2
M	51.1	 0.770	2
M	51.6	 0.769	2
M	52.1	 0.765	2
M	52.6	 0.676	2
M	53.1	 0.681	2
M	53.6	 0.780	2
M	54.1	 0.737	2
M	54.6	 0.768	2
M	55.1	 0.658	2
M	55.6	 0.776	2
M	56.1	 0.639	2
M	56.6	 0.788	2
M	57.1	 0.663	2
M	57.6	 0.760	2
M	58.1	 0.648	2
M	58.6	 0.670	2
M	59.1	 0.713	2
M	59.6	 0.752	2
M	60.1	 0.793	2
M	60.6	 0.797	2
M	61.1	 0.810	2
M	61.6	 0.728	2
M	62.1	 0.710	2
M	62.6	 0.657	2
M	63.1	 0.649	2
M	63.6	 0.648	2
M	64.1	 0.670	2
M	64.6	 0.671	2
M	65.1	 0.628	2
M	65.6	 0.766	2
M	66.1	 0.717	2
M	66.6	 0.674	2
M	67.1	 0.687	2
M	67.6	 0.747	2
M	68.1	 0.714	2
M	68.6	 0.756	2
M	69.1	 0.709	2
M	69.6	 0.676	2
M	70.1	 0.691	2
M	70.6	 0.792	2
M	71.1	 0.723	2
M	71.6	 0.777	2
M	72.1	 0.766	2
M	72.6	 0.713	2
M	73.1	 0.775	2
M	73.6	 0.753	2
M	74.1	 0.719	2
M	74.6	 0.781	2
M	75.2	 0.641	2
M	75.7	 0.713	2
M	76.2	 0.682	2
M	76.7	 0.712	2
M	77.2	 0.715	2
M	77.7	 0.737	2
M	78.2	 0.756	2
M	78.7	 0.704	2
M	79.2	 0.812	2
M	79.7	 0.607	2
M	80.2	 0.753	2
M	80.7	 0.664	2
M	81.2	 0.761	2
M	81.7	 0.674	2
M	82.2	 0.706	2
M	82.7	 0.824	2
M	83.2	 0.808	2
M	83.7	 0.650	2
M	84.2	 0.782	2
M	84.7	 0.777	2
M	85.2	 0.689	2
M	85.7	 0.697	2
M	86.2	 0.659	2
M	86.7	 0.765	2
M	87.2	 0.738	2
M	87.7	 0.688	2
M	88.2	 0.746	2
M	88.7	 0.681	2
M	89.2	 0.778	2
M	89.7	 0.691	2
M	90.2	 0.663	2
M	90.7	 0.744	2
M	91.2	 0.676	2
M	91.7	 0.789	2
M	92.2	 0.654	2
M	92.7	 0.772	2
M	93.2	 0.717	2
M	93.7	 0.709	2
M	94.2	 0.810	2
M	94.7	 0.784	2
M	95.2	 0.768	2
M	95.7	 0.637	2
M	96.2	 0.674	2
M	96.7	 0.707	2
M	97.2	 0.738	2
M	97.7	 0.776	2
M	98.2	 0.653	2
M	98.7	 0.639	2
M	99.2	 0.774	2
M	99.7	 0.769	2
M	100.3	 0.661	2
M	100.8	 0.785	2
M	101.3	 0.678	2
M	101.8	 0.778	2
M	102.3	 0.713	2
M	102.8	 0.725	2
M	103.3	 0.652	2
M	103.8	 0.755	2
M	104.3	 0.745	2
M	104.8	 0.720	2
M	105.3	 0.679	2
M	105.8	 0.807	2
M	106.3	 0.779	2
M	106.8	 0.722	2
M	107.3	 0.740	2
M	107.8	 0.757	2
M	108.3	 0.734	2
M	108.8	 0.768	2
M	109.3	 0.803	2
M	109.8	 0.802	2
M	110.3	 0.731	2
M	110.8	 0.744	2
M	111.3	 0.729	2
M	111.8	 0.784	2
M	112.3	 0.751	2
M	112.8	 0.765	2
M	113.3	 0.713	2
M	113.8	 0.645	2
M	114.3	 0.787	2
M	114.8	 0.774	2
M	115.3	 0.771	2
M	115.8	 0.736	2
M	116.3	 0.711	2
M	116.8	 0.747	2
M	117.3	 0.768	2
M	117.8	 0.706	2
M	118.3	 0.816	2
M	118.8	 0.710	2
M	119.3	 0.771	2
M	119.8	 0.799	2
M	120.3	 0.750	2
M	120.8	 0.698	2
M	121.3	 0.800	2
M	121.8	 0.689	2
M	122.3	 0.661	2
M	122.8	 0.684	2
M	123.3	 0.747	2
M	123.8	 0.690	2
M	124.3	 0.779	2
M	124.8	 0.649	2
M	125.4	 0.746	2
M	125.9	 0.762	2
M	126.4	 0.639	2
M	126.9	 0.709	2
M	127.4	 0.792	2
M	127.9	 0.753	2
M	128.4	 0.769	2
M	128.9	 0.684	2
M	129.4	 0.680	2
M	129.9	 0.764	2
M	130.4	 0.760	2
M	130.9	 0.639	2
M	131.4	 0.654	2
M	131.9	 0.673	2
M	132.4	 0.699	2
M	132.9	 0.772	2
M	133.4	 0.706	2
M	133.9	 0.692	2
M	134.4	 0.632	2
M	134.9	 0.679	2
M	135.4	 0.777	2
M	135.9	 0.636	2
M	136.4	 0.833	2
M	136.9	 0.693	2
M	137.4	 0.614	2
M	137.9	 0.728	2
M	138.4	 0.801	2
M	138.9	 0.720	2
M	139.4	 0.741	2
M	139.9	 0.708	2
M	140.4	 0.793	2
M	140.9	 0.673	2
M	141.4	 0.809	2
M	141.9	 0.790	2
M	142.4	 0.743	2
M	142.9	 0.756	2
M	143.4	 0.647	2
M	143.9	 0.695	2
M	144.4	 0.725	2
M	144.9	 0.748	2
M	145.4	 0.790	2
M	145.9	 0.759	2
M	146.4	 0.633	2
M	146.9	 0.638	2
M	147.4	 0.697	2
M	147.9	 0.783	2
M	148.4	 0.714	2
M	148.9	 0.698	2
M	149.4	 0.637	2
M	149.9	 0.716	2
M	150.5	 0.756	2
M	151.0	 0.744	2
M	151.5	 0.702	2
M	152.0	 0.687	2
M	152.5	 0.824	2
M	153.0	 0.790	2
M	153.5	 0.717	2
M	154.0	 0.679	2
M	154.5	 0.733	2
M	155.0	 0.707	2
M	155.5	 0.709	2
M	156.0	 0.801	2
M	156.5	 0.810	2
M	157.0	 0.740	2
M	157.5	 0.781	2
M	158.0	 0.662	2
M	158.5	 0.788	2
M	159.0	 0.820	2
M	159.5	 0.661	2
M	160.0	 0.793	2
M	160.5	 0.646	2
M	161.0	 0.777	2
M	161.5	 0.709	2
M	162.0	 0.809	2
M	162.5	 0.701	2
M	163.0	 0.711	2
M	163.5	 0.687	2
M	164.0	 0.773	2
M	164.5	 0.766	2
M	165.0	 0.698	2
M	165.5	 0.651	2
M	166.0	 0.669	2
M	166.5	 0.738	2
M	167.0	 0.768	2
M	167.5	 0.807	2
M	168.0	 0.693	2
M	168.5	 0.759	2
M	169.0	 0.776	2
M	169.5	 0.678	2
M	170.0	 0.807	2
M	170.5	 0.724	2
M	171.0	 0.677	2
M	171.5	 0.769	2
M	172.0	 0.800	2
M	172.5	 0.706	2
M	173.0	 0.777	2
M	173.5	 0.785	2
M	174.0	 0.702	2
M	174.5	 0.766	2
M	175.0	 0.724	2
M	175.6	 0.813	2
M	176.1	 0.688	2
M	176.6	 0.673	2
M	177.1	 0.746	2
M	177.6	 0.733	2
M	178.1	 0.687	2
M	178.6	 0.750	2
M	179.1	 0.667	2
M	179.6	 0.719	2
M	180.1	 0.730	2
M	180.6	 0.684	2
M	181.1	 0.657	2
M	181.6	 0.810	2
M	182.1	 0.671	2
M	182.6	 0.735	2
M	183.1	 0.658	2
M	183.6	 0.742	2
M	184.1	 0.697	2
M	184.6	 0.738	2
M	185.1	 0.751	2
M	185.6	 0.797	2
M	186.1	 0.720	2
M	186.6	 0.700	2
M	187.1	 0.699	2
M	187.6	 0.748	2
M	188.1	 0.729	2
M	188.6	 0.770	2
M	189.1	 0.621	2
M	189.6	 0.802	2
M	190.1	 0.686	2
M	190.6	 0.817	2
M	191.1	 0.749	2
M	191.6	 0.760	2
M	192.1	 0.814	2
M	192.6	 0.729	2
M	193.1	 0.670	2
M	193.6	 0.776	2
M	194.1	 0.816	2
M	194.6	 0.786	2
M	195.1	 0.679	2
M	195.6	 0.795	2
M	196.1	 0.711	2
M	196.6	 0.641	2
M	197.1	 0.728	2
M	197.6	 0.787	2
M	198.1	 0.681	2
M	198.6	 0.667	2
M	199.1	 0.751	2
M	199.6	 0.725	2
M	200.1	 0.741	2
M	200.7	 0.684	2
M	201.2	 0.641	2
M	201.7	 0.640	2
M	202.2	 0.753	2
M	202.7	 0.745	2
M	203.2	 0.742	2
M	203.7	 0.773	2
M	204.2	 0.673	2
M	204.7	 0.696	2
M	205.2	 0.742	2
M	205.7	 0.735	2
M	206.2	 0.795	2
M	206.7	 0.670	2
M	207.2	 0.771	2
M	207.7	 0.686	2
M	208.2	 0.703	2
M	208.7	 0.795	2
M	209.2	 0.668	2
M	209.7	 0.692	2
M	210.2	 0.768	2
M	210.7	 0.718	2
M	211.2	 0.599	2
M	211.7	 0.766	2
M	212.2	 0.666	2
M	212.7	 0.666	2
M	213.2	 0.694	2
M	213.7	 0.665	2
M	214.2	 0.745	2
M	214.7	 0.694	2
M	215.2	 0.822	2
M	215.7	 0.711	2
M	216.2	 0.778	2
M	216.7	 0.661	2
M	217.2	 0.720	2
M	217.7	 0.782	2
M	218.2	 0.789	2
M	218.7	 0.656	2
M	219.2	 0.778	2
M	219.7	 0.650	2
M	220.2	 0.727	2
M	220.7	 0.760	2
M	221.2	 0.640	2
M	221.7	 0.727	2
M	222.2	 0.749	2
M	222.7	 0.643	2
M	223.2	 0.684	2
M	223.7	 0.686	2
M	224.2	 0.810	2
M	224.7	 0.694	2
M	225.2	 0.732	2
M	225.8	 0.769	2
M	226.3	 0.806	2
M	226.8	 0.683	2
M	227.3	 0.751	2
M	227.8	 0.722	2
M	228.3	 0.678	2
M	228.8	 0.733	2
M	229.3	 0.782	2
M	229.8	 0.678	2
