s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 40.950
# Pump off @ 0.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(40.950): 6.1
# Enter pump off (low) measurement(0.000): 6.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	37.3	 8.001	2
M	37.8	 7.994	2
M	38.3	 7.932	2
M	38.8	 7.914	2
M	39.3	 7.920	2
M	39.8	 7.921	2
M	40.3	 7.901	2
M	40.8	 7.884	2
M	41.3	 7.920	2
M	41.8	 7.979	2
M	42.3	 7.978	2
M	42.8	 7.935	2
M	43.3	 7.890	2
M	43.8	 7.947	2
M	44.3	 8.193	2
M	44.8	 8.205	2
M	45.3	 8.141	2
M	45.8	 8.184	2
M	46.3	 7.916	2
M	46.8	 7.927	2
M	47.4	 7.895	2
M	47.9	 7.936	2
M	48.4	 8.002	2
M	48.9	 7.966	2
M	49.4	 7.957	2
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 60
# Planned pumping time: 60 sec (any key to interrupt)
# Pumped 58.313 seconds
# band-dsp-teensy manual [acghmpsz] > a
# NOTE: pump primed
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 900
# Planned pumping time: 900 sec (any key to interrupt)
# Pumped 756.965 seconds
# band-dsp-teensy manual [acghmpsz] > a
# NOTE: Turbidostat filled,~750 seconds
# band-dsp-teensy manual [acghmpsz] > a
# NOTE: Preparing turbidostat innoculation, 
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	1506.9	 0.025	2
M	1507.4	 0.005	2
M	1507.9	 0.008	2
M	1508.4	 0.-01	2
M	1508.9	 0.005	2
M	1509.4	 0.-04	2
M	1509.9	 0.051	2
M	1510.4	 0.044	2
M	1510.9	 0.065	2
M	1511.4	 0.088	2
M	1511.9	 0.108	2
M	1512.4	 0.079	2
M	1512.9	 0.062	2
M	1513.4	 0.042	2
M	1513.9	 0.039	2
M	1514.4	 0.083	2
M	1514.9	 0.086	2
M	1515.4	 0.054	2
M	1515.9	 0.035	2
M	1516.4	 0.090	2
M	1517.0	 0.082	2
M	1517.5	 0.049	2
M	1518.0	 0.031	2
M	1518.5	 0.088	2
M	1519.0	 0.103	2
M	1519.5	 0.036	2
M	1520.0	 0.061	2
M	1520.5	 0.075	2
M	1521.0	 0.049	2
M	1521.5	 0.107	2
M	1522.0	 0.073	2
M	1522.5	 0.056	2
M	1523.0	 0.-04	2
M	1523.5	 0.001	2
M	1524.0	 0.-11	2
M	1524.5	 0.046	2
M	1525.0	 0.080	2
M	1525.5	 0.005	2
M	1526.0	 0.-11	2
M	1526.5	 0.019	2
M	1527.0	 0.-04	2
M	1527.5	 0.-15	2
M	1528.0	 0.-09	2
M	1528.5	 0.008	2
M	1529.0	 0.005	2
M	1529.5	 0.051	2
M	1530.0	 0.087	2
M	1530.5	 0.000	2
M	1531.0	 0.003	2
M	1531.5	 0.082	2
M	1532.0	 0.012	2
M	1532.5	 0.-04	2
M	1533.0	 0.022	2
M	1533.5	 0.-06	2
M	1534.0	 0.080	2
M	1534.5	 0.085	2
M	1535.0	 0.087	2
M	1535.5	 0.018	2
M	1536.0	 0.000	2
M	1536.5	 0.016	2
M	1537.0	 0.042	2
M	1537.5	 0.102	2
M	1538.0	 0.139	2
M	1538.5	 0.004	2
M	1539.0	 0.090	2
M	1539.5	 0.045	2
M	1540.0	 0.082	2
M	1540.5	 0.019	2
M	1541.0	 0.131	2
M	1541.5	 0.029	2
M	1542.1	 0.052	2
M	1542.6	 0.049	2
M	1543.1	 0.018	2
M	1543.6	 0.092	2
M	1544.1	 0.084	2
M	1544.6	 0.053	2
M	1545.1	 0.120	2
M	1545.6	 0.011	2
M	1546.1	 0.035	2
M	1546.6	 0.043	2
M	1547.1	 0.081	2
M	1547.6	 0.106	2
M	1548.1	 0.049	2
M	1548.6	 0.065	2
M	1549.1	 0.108	2
M	1549.6	 0.094	2
M	1550.1	 0.071	2
M	1550.6	 0.018	2
M	1551.1	 0.071	2
M	1551.6	 0.077	2
M	1552.1	 0.017	2
M	1552.6	 0.098	2
M	1553.1	 0.027	2
M	1553.6	 0.043	2
M	1554.1	 0.042	2
M	1554.6	 0.089	2
M	1555.1	 0.079	2
M	1555.6	 0.108	2
M	1556.1	 0.107	2
M	1556.6	 0.113	2
M	1557.1	 0.078	2
M	1557.6	 0.075	2
M	1558.1	 0.075	2
M	1558.6	 0.035	2
M	1559.1	 0.028	2
M	1559.6	 0.039	2
M	1560.1	 0.052	2
M	1560.6	 0.013	2
M	1561.1	 0.014	2
M	1561.6	 0.-01	2
M	1562.1	 0.035	2
M	1562.6	 0.111	2
M	1563.1	 0.098	2
M	1563.6	 0.095	2
M	1564.1	 0.088	2
M	1564.6	 0.051	2
M	1565.1	 0.039	2
M	1565.6	 0.077	2
M	1566.1	 0.097	2
M	1566.6	 0.069	2
M	1567.2	 0.027	2
M	1567.7	 0.029	2
M	1568.2	 0.010	2
M	1568.7	 0.052	2
M	1569.2	 0.043	2
M	1569.7	 0.135	2
M	1570.2	 0.127	2
M	1570.7	 0.049	2
M	1571.2	 0.101	2
M	1571.7	 0.025	2
M	1572.2	 0.014	2
M	1572.7	 0.029	2
M	1573.2	 0.098	2
M	1573.7	 0.053	2
M	1574.2	 0.059	2
M	1574.7	 0.052	2
M	1575.2	 0.055	2
M	1575.7	 0.035	2
M	1576.2	 0.095	2
M	1576.7	 0.104	2
M	1577.2	 0.012	2
M	1577.7	 0.019	2
M	1578.2	 0.060	2
M	1578.7	 0.034	2
M	1579.2	 0.106	2
M	1579.7	 0.135	2
M	1580.2	 0.055	2
M	1580.7	 0.066	2
M	1581.2	 0.036	2
M	1581.7	 0.115	2
