m
M	time.s	neph	gain
M	603.6	 4.553	2
M	604.1	 4.542	2
M	604.6	 4.476	2
M	605.1	 4.434	2
M	605.6	 4.527	2
M	606.1	 4.423	2
M	606.6	 4.498	2
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 5
# Planned pumping time: 5 sec (any key to interrupt)
# Pumped 5.000 seconds
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 100
# Planned pumping time: 100 sec (any key to interrupt)
# Pumped 76.957 seconds
# band-dsp-teensy manual [acghmpsz] > p
# Which pump [A,B,C,D]: a
# Enter pump duration (sec): 900
# Planned pumping time: 900 sec (any key to interrupt)
# Pumped 900.000 seconds
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	1963.7	 0.216	2
M	1964.3	 0.233	2
M	1964.8	 0.287	2
M	1965.3	 0.231	2
M	1965.8	 0.310	2
M	1966.3	 0.271	2
M	1966.8	 0.295	2
M	1967.3	 0.313	2
# band-dsp-teensy manual [acghmpsz] > g
# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 3
# Current settings:
# Gain setting 5x (3)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	1972.2	 0.526	5
M	1972.7	 0.709	5
M	1973.2	 0.725	5
M	1973.7	 0.735	5
M	1974.2	 0.620	5
M	1974.7	 0.722	5
M	1975.2	 0.759	5
M	1975.7	 0.739	5
M	1976.2	 0.707	5
M	1976.7	 0.650	5
M	1977.2	 0.529	5
M	1977.7	 0.620	5
M	1978.2	 0.755	5
M	1978.7	 0.713	5
M	1979.2	 0.545	5
M	1979.7	 0.564	5
M	1980.2	 0.554	5
M	1980.7	 0.785	5
M	1981.2	 0.646	5
M	1981.8	 0.686	5
M	1982.3	 0.548	5
M	1982.8	 0.605	5
M	1983.3	 0.517	5
M	1983.8	 0.645	5
