Cycle Nr.,Temp. [C],A1,Time [ms],A2,Time [ms],A3,Time [ms],A4,Time [ms],A5,Time [ms],A6,Time [ms],A7,Time [ms],A8,Time [ms],A9,Time [ms],A10,Time [ms],A11,Time [ms],A12,Time [ms],B1,Time [ms],B2,Time [ms],B3,Time [ms],B4,Time [ms],B5,Time [ms],B6,Time [ms],B7,Time [ms],B8,Time [ms],B9,Time [ms],B10,Time [ms],B11,Time [ms],B12,Time [ms],C1,Time [ms],C2,Time [ms],C3,Time [ms],C4,Time [ms],C5,Time [ms],C6,Time [ms],C7,Time [ms],C8,Time [ms],C9,Time [ms],C10,Time [ms],C11,Time [ms],C12,Time [ms],D1,Time [ms],D2,Time [ms],D3,Time [ms],D4,Time [ms],D5,Time [ms],D6,Time [ms],D7,Time [ms],D8,Time [ms],D9,Time [ms],D10,Time [ms],D11,Time [ms],D12,Time [ms]
1,30.3,0.115699999,0,0.111599997,640,0.114399999,1278,0.113399997,1918,0.118699998,2559,0.116899997,3199,0.1193,3839,0.114100002,4479,0.114200003,5119,0.1149,5759,0.114799999,6399,0.107900001,7039,0.115400001,0,0.110299997,640,0.113899998,1278,0.1193,1918,0.123800002,2559,0.123000003,3199,0.115699999,3839,0.115099996,4479,0.122500002,5119,0.1237,5759,0.118699998,6399,0.118799999,7039,0.115000002,0,0.111100003,640,0.111900002,1278,0.113700002,1918,0.112199999,2559,0.118600003,3199,0.111400001,3839,0.113300003,4479,0.115500003,5119,0.1193,5759,0.121699996,6399,0.1096,7039,0.116499998,0,0.123400003,640,0.122500002,1278,0.123800002,1918,0.1206,2559,0.131200001,3199,0.122199997,3839,0.114299998,4479,0.115599997,5119,0.112999998,5759,0.117299996,6399,0.116300002,7039
2,30.1,0.114299998,610339,0.110699996,610979,0.1127,611617,0.112099998,612257,0.114799999,612897,0.114100002,613537,0.118000001,614177,0.112400003,614817,0.109099999,615457,0.1087,616097,0.1096,616737,0.107100002,617377,0.113499999,610339,0.109800003,610979,0.113499999,611617,0.1184,612257,0.122299999,612897,0.122699998,613537,0.1175,614177,0.115400001,614817,0.118000001,615457,0.121699996,616097,0.115099996,616737,0.115900002,617377,0.111900002,610339,0.109800003,610979,0.109999999,611617,0.112499997,612257,0.110200003,612897,0.114600003,613537,0.1083,614177,0.113300003,614817,0.114100002,615457,0.114399999,616097,0.117899999,616737,0.108499996,617377,0.114699997,610339,0.120200001,610979,0.120099999,611617,0.122500002,612257,0.118199997,612897,0.127900004,613537,0.120099999,614177,0.113600001,614817,0.110399999,615457,0.112800002,616097,0.112000003,616737,0.112999998,617377
3,30.3,0.114399999,1220623,0.111400001,1221263,0.113899998,1221901,0.112300001,1222541,0.113700002,1223181,0.111900002,1223821,0.117899999,1224461,0.112999998,1225101,0.109499998,1225741,0.108400002,1226381,0.109399997,1227021,0.107799999,1227661,0.1131,1220623,0.109399997,1221263,0.114100002,1221901,0.118500002,1222541,0.123300001,1223181,0.1215,1223821,0.114500001,1224461,0.115199998,1225101,0.118699998,1225741,0.118100002,1226381,0.115000002,1227021,0.115800001,1227661,0.1118,1220623,0.1105,1221263,0.1109,1221901,0.112899996,1222541,0.111400001,1223181,0.114799999,1223821,0.1087,1224461,0.1127,1225101,0.115099996,1225741,0.1127,1226381,0.118100002,1227021,0.108499996,1227661,0.115000002,1220623,0.120800003,1221263,0.121100001,1221901,0.122299999,1222541,0.118600003,1223181,0.126300007,1223821,0.118600003,1224461,0.113399997,1225101,0.111100003,1225741,0.112000003,1226381,0.112000003,1227021,0.1096,1227661
4,30.4,0.115000002,1830907,0.111599997,1831547,0.114100002,1832185,0.112999998,1832825,0.1127,1833465,0.112599999,1834105,0.118199997,1834745,0.112899996,1835385,0.109700002,1836025,0.109099999,1836665,0.110100001,1837305,0.1083,1837945,0.113600001,1830907,0.1096,1831547,0.113899998,1832185,0.1184,1832825,0.123000003,1833465,0.1215,1834105,0.114500001,1834745,0.114299998,1835385,0.118100002,1836025,0.117899999,1836665,0.1153,1837305,0.115800001,1837945,0.1127,1830907,0.111400001,1831547,0.110600002,1832185,0.113700002,1832825,0.111900002,1833465,0.115199998,1834105,0.1096,1834745,0.112999998,1835385,0.1149,1836025,0.1127,1836665,0.119199999,1837305,0.109399997,1837945,0.115400001,1830907,0.121200003,1831547,0.120800003,1832185,0.121299997,1832825,0.118600003,1833465,0.126399994,1834105,0.118600003,1834745,0.113499999,1835385,0.110799998,1836025,0.112199999,1836665,0.112400003,1837305,0.109899998,1837945
5,30.2,0.115599997,2441209,0.112300001,2441849,0.114600003,2442487,0.113600001,2443127,0.112999998,2443767,0.113200001,2444407,0.118500002,2445047,0.113399997,2445687,0.110399999,2446327,0.109399997,2446967,0.110699996,2447607,0.109399997,2448247,0.114299998,2441209,0.110399999,2441849,0.113899998,2442487,0.118699998,2443127,0.122900002,2443767,0.122900002,2444407,0.114100002,2445047,0.114699997,2445687,0.118600003,2446327,0.118299998,2446967,0.115599997,2447607,0.116400003,2448247,0.114399999,2441209,0.112800002,2441849,0.111299999,2442487,0.1149,2443127,0.112599999,2443767,0.116800003,2444407,0.110600002,2445047,0.114200003,2445687,0.116599999,2446327,0.114,2446967,0.119999997,2447607,0.111000001,2448247,0.116099998,2441209,0.121699996,2441849,0.120800003,2442487,0.121299997,2443127,0.119099997,2443767,0.126800001,2444407,0.118299998,2445047,0.114200003,2445687,0.111500002,2446327,0.1127,2446967,0.112499997,2447607,0.1105,2448247
6,30.3,0.1171,3051493,0.113799997,3052133,0.115900002,3052771,0.114699997,3053411,0.114699997,3054051,0.114699997,3054691,0.120399997,3055331,0.114799999,3055971,0.111400001,3056611,0.111100003,3057251,0.1118,3057891,0.110399999,3058531,0.115500003,3051493,0.111100003,3052133,0.115400001,3052771,0.119400002,3053411,0.124200001,3054051,0.123599999,3054691,0.115599997,3055331,0.115699999,3055971,0.119199999,3056611,0.118900001,3057251,0.115999997,3057891,0.116899997,3058531,0.116499998,3051493,0.115000002,3052133,0.1131,3052771,0.116800003,3053411,0.115400001,3054051,0.118600003,3054691,0.112999998,3055331,0.1162,3055971,0.118299998,3056611,0.115800001,3057251,0.120499998,3057891,0.1127,3058531,0.117600001,3051493,0.122699998,3052133,0.1219,3052771,0.122299999,3053411,0.120399997,3054051,0.127599999,3054691,0.119900003,3055331,0.115000002,3055971,0.112300001,3056611,0.113700002,3057251,0.113200001,3057891,0.112000003,3058531
7,30.4,0.117299996,3661778,0.114399999,3662418,0.117399998,3663056,0.1153,3663696,0.115500003,3664336,0.115400001,3664976,0.121200003,3665616,0.115500003,3666256,0.112300001,3666896,0.111900002,3667536,0.112199999,3668176,0.111599997,3668816,0.115199998,3661778,0.111299999,3662418,0.115400001,3663056,0.119900003,3663696,0.124399997,3664336,0.123499997,3664976,0.115900002,3665616,0.115699999,3666256,0.119199999,3666896,0.119099997,3667536,0.115900002,3668176,0.116999999,3668816,0.117899999,3661778,0.117200002,3662418,0.115099996,3663056,0.118900001,3663696,0.1171,3664336,0.120099999,3664976,0.115000002,3665616,0.118100002,3666256,0.119599998,3666896,0.117700003,3667536,0.122400001,3668176,0.114699997,3668816,0.117200002,3661778,0.123300001,3662418,0.1228,3663056,0.122599997,3663696,0.120999999,3664336,0.127800003,3664976,0.120099999,3665616,0.115500003,3666256,0.112800002,3666896,0.113899998,3667536,0.112999998,3668176,0.111500002,3668816
8,30.3,0.119000003,4272078,0.116099998,4272718,0.118799999,4273356,0.116999999,4273996,0.116899997,4274636,0.116599999,4275276,0.122299999,4275916,0.117200002,4276556,0.114,4277196,0.112999998,4277836,0.113399997,4278476,0.113200001,4279116,0.116999999,4272078,0.112999998,4272718,0.116999999,4273356,0.121399999,4273996,0.125100002,4274636,0.124399997,4275276,0.116800003,4275916,0.1171,4276556,0.120200001,4277196,0.120300002,4277836,0.117299996,4278476,0.118799999,4279116,0.121600002,4272078,0.120999999,4272718,0.118199997,4273356,0.1219,4273996,0.119999997,4274636,0.1228,4275276,0.117700003,4275916,0.121200003,4276556,0.122199997,4277196,0.120399997,4277836,0.125300005,4278476,0.118100002,4279116,0.118799999,4272078,0.125100002,4272718,0.123899996,4273356,0.123999998,4273996,0.121799998,4274636,0.128800005,4275276,0.120700002,4275916,0.116700001,4276556,0.113700002,4277196,0.114699997,4277836,0.114299998,4278476,0.112300001,4279116
9,30.4,0.120899998,4882363,0.1175,4883003,0.120200001,4883641,0.1184,4884281,0.118500002,4884921,0.118000001,4885561,0.123800002,4886201,0.118900001,4886841,0.115500003,4887481,0.114500001,4888121,0.114699997,4888761,0.1149,4889401,0.117700003,4882363,0.113700002,4883003,0.1175,4883641,0.122100003,4884281,0.126000002,4884921,0.124700002,4885561,0.117700003,4886201,0.118199997,4886841,0.1215,4887481,0.120999999,4888121,0.117899999,4888761,0.119199999,4889401,0.124799997,4882363,0.124200001,4883003,0.1206,4883641,0.125100002,4884281,0.123000003,4884921,0.125,4885561,0.120700002,4886201,0.124300003,4886841,0.125100002,4887481,0.123300001,4888121,0.128399998,4888761,0.120999999,4889401,0.120499998,4882363,0.126100004,4883003,0.124499999,4883641,0.124700002,4884281,0.1228,4884921,0.129500002,4885561,0.122599997,4886201,0.117899999,4886841,0.1149,4887481,0.115500003,4888121,0.1149,4888761,0.113600001,4889401
10,30.4,0.122400001,5492647,0.119599998,5493287,0.122500002,5493925,0.120200001,5494565,0.120399997,5495205,0.119800001,5495845,0.125799999,5496485,0.120200001,5497125,0.116700001,5497765,0.116599999,5498405,0.116400003,5499045,0.116300002,5499685,0.119099997,5492647,0.115999997,5493287,0.1193,5493925,0.123099998,5494565,0.127599999,5495205,0.126599997,5495845,0.119099997,5496485,0.1193,5497125,0.122599997,5497765,0.122599997,5498405,0.1193,5499045,0.120499998,5499685,0.128800005,5492647,0.128700003,5493287,0.124700002,5493925,0.128999993,5494565,0.127100006,5495205,0.128800005,5495845,0.124799997,5496485,0.128000006,5497125,0.128099993,5497765,0.127299994,5498405,0.131999999,5499045,0.125400007,5499685,0.121699996,5492647,0.128299996,5493287,0.126399994,5493925,0.126300007,5494565,0.124600001,5495205,0.130799994,5495845,0.123400003,5496485,0.119099997,5497125,0.115800001,5497765,0.1171,5498405,0.116300002,5499045,0.114500001,5499685
